CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster_ID,Customer_Segment
201,Male,64,101,34,3,"Budget (Low Income, Low Spend)"
202,Female,68,138,33,3,"Budget (Low Income, Low Spend)"
203,Male,61,135,48,3,"Budget (Low Income, Low Spend)"
204,Male,69,76,23,3,"Budget (Low Income, Low Spend)"
205,Male,20,54,62,0,"Premium (High Income, High Spend)"
206,Female,54,99,88,1,"Untapped Potential (High Income, Low Spend)"
207,Male,68,94,37,3,"Budget (Low Income, Low Spend)"
208,Male,24,123,99,1,"Untapped Potential (High Income, Low Spend)"
209,Male,38,96,44,3,"Budget (Low Income, Low Spend)"
210,Female,26,125,86,1,"Untapped Potential (High Income, Low Spend)"
211,Male,56,67,91,1,"Untapped Potential (High Income, Low Spend)"
212,Male,35,38,35,4,"Balanced (Average Income, Average Spend)"
213,Male,21,40,65,2,"Promotion-Driven (Low Income, High Spend)"
214,Male,42,103,99,1,"Untapped Potential (High Income, Low Spend)"
215,Female,31,138,47,3,"Budget (Low Income, Low Spend)"
216,Male,67,74,78,1,"Untapped Potential (High Income, Low Spend)"
217,Female,26,138,3,3,"Budget (Low Income, Low Spend)"
218,Female,43,123,1,3,"Budget (Low Income, Low Spend)"
219,Female,19,55,5,4,"Balanced (Average Income, Average Spend)"
220,Male,37,43,90,2,"Promotion-Driven (Low Income, High Spend)"
221,Female,45,29,14,4,"Balanced (Average Income, Average Spend)"
222,Male,64,59,27,0,"Premium (High Income, High Spend)"
223,Female,24,79,9,3,"Budget (Low Income, Low Spend)"
224,Female,61,103,79,1,"Untapped Potential (High Income, Low Spend)"
225,Female,25,85,15,3,"Budget (Low Income, Low Spend)"
226,Female,64,23,90,2,"Promotion-Driven (Low Income, High Spend)"
227,Female,52,102,42,3,"Budget (Low Income, Low Spend)"
228,Female,31,15,77,2,"Promotion-Driven (Low Income, High Spend)"
229,Female,34,122,51,1,"Untapped Potential (High Income, Low Spend)"
230,Female,53,22,63,2,"Promotion-Driven (Low Income, High Spend)"
231,Male,67,102,96,1,"Untapped Potential (High Income, Low Spend)"
232,Male,57,77,52,0,"Premium (High Income, High Spend)"
233,Female,21,25,96,2,"Promotion-Driven (Low Income, High Spend)"
234,Female,19,129,4,3,"Budget (Low Income, Low Spend)"
235,Female,23,95,94,1,"Untapped Potential (High Income, Low Spend)"
236,Male,59,22,23,4,"Balanced (Average Income, Average Spend)"
237,Female,21,49,15,4,"Balanced (Average Income, Average Spend)"
238,Male,46,49,43,0,"Premium (High Income, High Spend)"
239,Male,35,47,29,4,"Balanced (Average Income, Average Spend)"
240,Male,43,137,36,3,"Budget (Low Income, Low Spend)"
241,Male,61,19,13,4,"Balanced (Average Income, Average Spend)"
242,Male,51,120,32,3,"Budget (Low Income, Low Spend)"
243,Female,27,117,71,1,"Untapped Potential (High Income, Low Spend)"
244,Female,53,136,59,1,"Untapped Potential (High Income, Low Spend)"
245,Female,31,55,86,2,"Promotion-Driven (Low Income, High Spend)"
246,Female,48,42,28,4,"Balanced (Average Income, Average Spend)"
247,Female,65,21,66,2,"Promotion-Driven (Low Income, High Spend)"
248,Male,32,87,42,3,"Budget (Low Income, Low Spend)"
249,Female,25,86,45,3,"Budget (Low Income, Low Spend)"
250,Female,31,26,62,2,"Promotion-Driven (Low Income, High Spend)"
